转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,122.027,0.19,142.607,20.58,101.2012,3.33,108.6798,AAA,30.0,0.7994524298425736,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,115.541,0.78,155.501,39.96,82.5503,4.47,110.8922,AA,30.0,0.6379192334017796,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123114,三角转债,128.077,0.04,159.987,31.91,97.0912,22.69,113.5136,AA-,9.043727,0.7255304585900069,113.5136,119.18928,True,纯债价值回退,2027-05-25,True
127034,绿茵转债,121.5,-0.52,161.05,39.55,87.0651,11.21,111.6787,AA-,7.12,0.6570841889117043,113.0,118.65,True,条款解析,2027-04-30,True
113054,绿动转债,126.205,0.33,163.495,37.29,91.9262,8.67,108.2605,AA+,23.6,1.4811772758384667,109.0,114.45,True,条款解析,2028-02-25,True
127050,麒麟转债,128.156,-0.19,165.906,37.75,93.0325,15.07,109.7354,AA,21.989391,1.1909650924024642,110.0,115.5,True,条款解析,2027-11-11,True
110087,天业转债,125.31,0.15,166.79,41.48,88.5714,5.6,106.6665,AA+,30.0,1.8069815195071868,108.0,113.4,True,条款解析,2028-06-23,True
113070,渝水转债,125.061,0.0,167.64100000000002,42.58,87.7119,4.72,103.3747,AAA,19.0,4.353182751540041,110.9,116.44500000000001,True,条款解析,2031-01-09,True
113067,燃23转债,128.729,0.08,170.799,42.07,90.6077,7.24,104.9972,AAA,30.0,2.8993839835728954,108.8,114.24,True,条款解析,2029-07-27,True
127046,百润转债,128.001,0.0,172.251,44.25,88.7359,20.33,109.9488,AA,11.28,1.0732375085557837,110.0,115.5,True,条款解析,2027-09-29,True
123119,康泰转2,123.1,-0.2,172.48,49.38,82.4092,15.69,110.4863,AA,20.0,0.865160848733744,110.4863,116.010615,True,纯债价值回退,2027-07-15,True
110093,神马转债,123.776,-0.21,172.606,48.83,83.1683,8.08,105.6575,AAA,30.0,2.535249828884326,108.8,114.24,True,条款解析,2029-03-16,True
127054,双箭转债,125.417,-0.15,179.097,53.68,81.6092,6.96,111.2176,AA,5.1364,1.4428473648186173,112.0,117.60000000000001,True,条款解析,2028-02-11,True
127108,太能转债,124.001,-0.31,182.651,58.65,78.1588,5.54,107.9144,AA+,29.5,4.566735112936345,107.9144,113.31012000000001,True,纯债价值回退,2031-03-28,True
110095,双良转债,116.698,-0.17,184.418,67.72,69.5793,6.18,106.3605,AA-,26.0,2.9322381930184807,111.8,117.39,False,条款解析,2029-08-08,True
110100,龙建转债,121.784,0.05,185.714,63.93,74.2919,4.59,102.4621,AA,10.0,5.388090349075975,113.4,119.07000000000001,True,条款解析,2032-01-22,True
127102,浙建转债,121.8,-0.16,187.85,66.05,73.353,10.17,105.8775,AA+,10.0,3.3127994524298425,111.3,116.865,True,条款解析,2029-12-25,True
123216,科顺转债,123.426,-0.44,189.926,66.5,74.1301,6.61,111.0843,AA-,21.98,2.921286789869952,116.8,122.64,True,条款解析,2029-08-04,True
110086,精工转债,122.935,-0.44,190.14499999999998,67.21,73.523,4.57,110.8343,AA,20.0,1.6372347707049966,110.8343,116.37601500000001,True,纯债价值回退,2028-04-22,True
