转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,119.485,-0.19,135.135,15.65,103.3133,3.32,108.7679,AAA,30.0,0.7501711156741958,110.0,115.5,True,条款解析,2027-06-21,True
113058,友发转债,129.033,-0.17,142.82299999999998,13.79,113.3929,4.48,111.0804,AA,20.0,1.5249828884325805,111.0804,116.63442,True,纯债价值回退,2028-03-30,True
113054,绿动转债,125.414,0.24,155.324,29.91,96.5398,8.67,108.3625,AA+,23.6,1.431895961670089,109.0,114.45,True,条款解析,2028-02-25,True
113048,晶科转债,113.404,-0.35,156.194,42.79,79.4183,4.47,111.0,AA,30.0,0.5886379192334018,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123149,通裕转债,129.957,0.28,156.637,26.68,102.583,2.71,110.6528,AA,14.8472,1.7494866529774127,112.0,117.60000000000001,True,条款解析,2028-06-20,True
123114,三角转债,123.88,0.17,157.35,33.47,92.8162,22.69,113.6694,AA-,9.043727,0.676249144421629,113.6694,119.35287,True,纯债价值回退,2027-05-25,True
111017,蓝天转债,129.2,-0.24,159.76,30.56,98.9583,6.72,107.9281,AA,8.7,2.9021218343600275,111.8,117.39,True,条款解析,2029-08-15,True
127050,麒麟转债,120.4,0.43,161.05,40.65,85.6005,15.07,109.8378,AA,21.989391,1.1416837782340863,110.0,115.5,True,条款解析,2027-11-11,True
127046,百润转债,123.171,-0.21,162.911,39.74,88.1456,20.33,110.0544,AA,11.28,1.0239561943874058,110.0,115.5,True,条款解析,2027-09-29,True
113640,苏利转债,129.231,-0.17,164.191,34.96,95.7565,10.84,114.0583,AA-,9.57211,1.4072553045859,114.0583,119.761215,True,纯债价值回退,2028-02-16,True
113067,燃23转债,125.29,-0.33,168.37,43.08,87.5691,7.24,105.1291,AAA,30.0,2.8501026694045173,108.8,114.24,True,条款解析,2029-07-27,True
110087,天业转债,120.716,-0.21,169.286,48.57,81.25,5.6,106.789,AA+,30.0,1.757700205338809,108.0,113.4,True,条款解析,2028-06-23,True
123119,康泰转2,117.941,-0.21,170.24099999999999,52.3,77.4379,15.69,110.6045,AA,20.0,0.8158795345653662,110.6045,116.134725,True,纯债价值回退,2027-07-15,True
113070,渝水转债,125.266,-0.46,172.716,47.45,84.9576,4.72,103.6354,AAA,19.0,4.303901437371663,110.9,116.44500000000001,True,条款解析,2031-01-09,True
127034,绿茵转债,122.2,0.91,172.9,50.7,81.0883,11.21,111.8301,AA-,7.12,0.6078028747433265,113.0,118.65,True,条款解析,2027-04-30,True
110093,神马转债,120.025,-0.41,173.715,53.69,78.0941,8.08,105.7803,AAA,30.0,2.485968514715948,108.8,114.24,True,条款解析,2029-03-16,True
123172,漱玉转债,126.301,1.16,177.801,51.5,83.3669,14.91,111.5583,AA-,8.0,2.236824093086927,115.0,120.75,True,条款解析,2028-12-15,True
113649,丰山转债,128.598,0.07,178.828,50.23,85.5988,13.61,113.1843,AA-,5.0,1.7686516084873374,115.0,120.75,True,条款解析,2028-06-27,True
127054,双箭转债,122.599,0.08,179.169,56.57,78.3046,6.96,111.3285,AA,5.1364,1.3935660506502396,112.0,117.60000000000001,True,条款解析,2028-02-11,True
