转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,124.546,-1.16,145.45600000000002,20.91,103.003,3.33,108.6201,AAA,30.0,0.837782340862423,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,117.689,-0.53,155.399,37.71,85.4586,4.47,110.8392,AA,30.0,0.676249144421629,112.0,117.60000000000001,True,条款解析,2027-04-23,True
127034,绿茵转债,127.009,-1.02,160.06900000000002,33.06,95.4505,11.21,111.6105,AA-,7.12,0.6954140999315537,113.0,118.65,True,条款解析,2027-04-30,True
127050,麒麟转债,129.78,-0.92,170.99,41.21,91.9044,15.07,109.6617,AA,21.989391,1.2292950034223136,110.0,115.5,True,条款解析,2027-11-11,True
113070,渝水转债,126.507,0.23,172.147,45.64,86.8644,4.72,103.4055,AAA,19.0,4.39151266255989,110.9,116.44500000000001,True,条款解析,2031-01-09,True
113054,绿动转债,123.11,-0.56,175.16,52.05,80.9689,8.67,108.1788,AA+,23.6,1.5195071868583163,109.0,114.45,True,条款解析,2028-02-25,True
110087,天业转债,125.008,-0.28,177.858,52.85,81.7857,5.6,106.5993,AA+,30.0,1.8453114305270362,108.0,113.4,True,条款解析,2028-06-23,True
113067,燃23转债,129.2,0.86,178.14999999999998,48.95,86.7403,7.24,104.9974,AAA,30.0,2.937713894592745,108.8,114.24,True,条款解析,2029-07-27,True
110093,神马转债,123.91,-0.94,180.84,56.93,78.9604,8.08,105.6292,AAA,30.0,2.5735797399041753,108.8,114.24,True,条款解析,2029-03-16,True
110095,双良转债,117.761,-0.57,182.791,65.03,71.3592,6.18,106.1956,AA-,26.0,2.97056810403833,111.8,117.39,True,条款解析,2029-08-08,True
123119,康泰转2,125.434,-0.37,184.404,58.97,78.9038,15.69,110.4356,AA,20.0,0.9034907597535934,110.4356,115.95738,True,纯债价值回退,2027-07-15,True
127054,双箭转债,125.5,-0.32,184.89,59.39,78.7356,6.96,111.1304,AA,5.1364,1.4811772758384667,112.0,117.60000000000001,True,条款解析,2028-02-11,True
127108,太能转债,125.2,-0.42,186.88,61.68,77.4368,5.54,107.8591,AA+,29.5,4.605065023956194,107.8591,113.252055,True,纯债价值回退,2031-03-28,True
123216,科顺转债,124.142,-0.04,188.582,64.44,75.4917,6.61,110.9124,AA-,21.98,2.9596167008898013,116.8,122.64,True,条款解析,2029-08-04,True
113652,伟22转债,127.3,-0.15,188.82,61.52,78.8118,19.02,108.2907,AA,14.77,1.9247091033538672,110.0,115.5,True,条款解析,2028-07-22,True
110100,龙建转债,122.969,-0.49,195.04899999999998,72.08,71.4597,4.59,102.1392,AA,10.0,5.426420260095825,113.4,119.07000000000001,True,条款解析,2032-01-22,True
127102,浙建转债,122.615,-0.8,195.325,72.71,70.9931,10.17,105.8521,AA+,10.0,3.351129363449692,111.3,116.865,True,条款解析,2029-12-25,True
127069,小熊转债,129.406,-0.23,196.11599999999999,66.71,77.6253,43.71,113.0218,AA-,5.36,1.9822039698836413,113.0218,118.67289000000001,True,纯债价值回退,2028-08-12,True
110086,精工转债,122.967,-0.19,196.947,73.98,70.6783,4.57,110.7399,AA,20.0,1.675564681724846,110.7399,116.27689500000001,True,纯债价值回退,2028-04-22,True
113674,华设转债,129.065,-0.6,199.27499999999998,70.21,75.8273,6.95,109.6939,AA,4.0,2.921286789869952,113.8,119.49000000000001,True,条款解析,2029-07-21,True
113682,益丰转债,129.581,-0.35,199.331,69.75,76.3359,31.44,107.4514,AA,17.97432,3.540041067761807,113.3,118.965,True,条款解析,2030-03-04,True
113627,太平转债,116.064,-0.19,199.644,83.58,63.2217,20.61,108.4635,AA,8.0,0.9034907597535934,110.0,115.5,True,条款解析,2027-07-15,True
111004,明新转债,128.914,-0.74,199.844,70.93,75.4206,24.37,113.9575,AA-,6.73,1.6125941136208077,115.0,120.75,True,条款解析,2028-03-30,True
111018,华康转债,125.04,0.4,203.06,78.02,70.2381,15.96,110.7105,AA-,13.03023,3.351129363449692,118.5,124.42500000000001,True,条款解析,2029-12-25,True
113647,禾丰转债,118.526,0.56,205.976,87.45,63.2309,10.09,110.7399,AA,15.0,1.675564681724846,112.0,117.60000000000001,True,条款解析,2028-04-22,True
123193,海能转债,128.872,-0.34,206.67200000000003,77.8,72.4828,14.5,112.0936,AA-,6.0,2.650239561943874,117.0,122.85000000000001,True,条款解析,2029-04-13,True
113655,欧22转债,121.059,0.45,215.97899999999998,94.92,62.1071,51.54,110.1473,AA,20.0,1.9630390143737166,110.1473,115.65466500000001,True,纯债价值回退,2028-08-05,True
123168,惠云转债,127.734,-0.77,216.694,88.96,67.5978,10.74,113.4534,AA-,4.9,2.2642026009582477,113.4534,119.12607000000001,True,纯债价值回退,2028-11-23,True
113648,巨星转债,118.586,-0.12,216.816,98.23,59.8229,24.84,108.6944,AA-,10.0,1.6837782340862424,110.0,115.5,True,条款解析,2028-04-25,True
123192,科思转债,125.3,-0.24,222.59,97.29,63.5104,17.32,112.0936,AA-,7.249178,2.650239561943874,117.0,122.85000000000001,True,条款解析,2029-04-13,True
127068,顺博转债,123.717,-0.69,222.61700000000002,98.9,62.2,10.0,105.8006,AA-,8.3,1.9822039698836413,105.8006,111.09063,True,纯债价值回退,2028-08-12,True
123264,双乐转债,124.187,-0.33,226.34699999999998,102.16,61.4286,36.4,98.8864,AA-,8.0,5.352498288843258,113.5,119.17500000000001,True,条款解析,2031-12-26,True
123113,仙乐转债,114.44,-0.02,227.01999999999998,112.58,53.834,31.69,111.6706,AA-,10.248929,0.6652977412731006,113.0,118.65,False,条款解析,2027-04-19,True
113671,武进转债,128.515,-0.37,227.86499999999998,99.35,64.467,7.88,107.8535,AA,3.1,2.891170431211499,107.8535,113.24617500000001,True,纯债价值回退,2029-07-10,True
113634,珀莱转债,123.788,0.4,229.598,105.81,60.1464,94.27,114.4181,AA,7.51713,1.3032169746748803,115.0,120.75,True,条款解析,2027-12-08,True
127085,韵达转债,121.616,0.12,230.286,108.67,58.2827,11.53,106.6052,AA+,24.5,2.64476386036961,109.8,115.29,True,条款解析,2029-04-11,True
113666,爱玛转债,121.977,0.19,241.097,119.12,55.6665,37.06,108.5956,AA,20.0,2.516084873374401,111.8,117.39,True,条款解析,2029-02-23,True
111009,盛泰转债,123.76,-0.19,243.85000000000002,120.09,56.2322,10.51,109.1849,AA,7.0118,2.220396988364134,111.8,117.39,True,条款解析,2028-11-07,True
113679,芯能转债,124.714,0.01,245.164,120.45,56.5737,12.55,111.3907,AA-,8.8,3.186858316221766,118.5,124.42500000000001,True,条款解析,2029-10-26,True
113638,台21转债,124.502,-0.15,245.482,120.98,56.3398,16.01,111.3679,AA,6.0,1.3607118412046544,112.0,117.60000000000001,True,条款解析,2027-12-29,True
127044,蒙娜转债,116.97,-0.87,246.5,129.53,50.9615,19.76,109.9948,AA-,11.6893,0.9911019849418207,109.9948,115.49454,True,纯债价值回退,2027-08-16,True
113693,志邦转债,122.372,0.13,250.512,128.14,53.6388,11.13,105.1228,AA,6.7,4.577686516084873,113.8,119.49000000000001,True,条款解析,2031-03-18,True
127062,垒知转债,124.78,-0.01,253.75,128.97,54.4974,7.56,113.3141,AA-,3.963,1.672826830937714,113.3141,118.979805,True,纯债价值回退,2028-04-21,True
111014,李子转债,125.48,0.32,255.63,130.15,54.5204,18.14,109.8671,AA,6.0,2.836413415468857,113.8,119.49000000000001,True,条款解析,2029-06-20,True
