转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,114.07,-0.64,130.6,16.53,97.8916,3.32,108.7965,AAA,30.0,0.7364818617385352,110.0,115.5,False,条款解析,2027-06-21,True
113058,友发转债,125.521,-0.47,137.541,12.02,112.0536,4.48,111.1501,AA,20.0,1.51129363449692,111.1501,116.707605,True,纯债价值回退,2028-03-30,True
113631,皖天转债,128.839,-0.95,139.489,10.65,116.4363,6.51,109.9224,AA+,9.3,1.1197809719370295,110.0,115.5,True,条款解析,2027-11-08,True
123149,通裕转债,126.865,-0.23,151.885,25.02,101.476,2.71,110.7205,AA,14.8472,1.7357973990417521,112.0,117.60000000000001,True,条款解析,2028-06-20,True
123114,三角转债,120.222,-1.24,152.322,32.1,91.0093,22.69,113.7223,AA-,9.043727,0.6625598904859685,113.7223,119.408415,True,纯债价值回退,2027-05-25,True
113054,绿动转债,121.433,-0.71,152.543,31.11,92.6182,8.67,108.415,AA+,23.6,1.4182067077344285,109.0,114.45,True,条款解析,2028-02-25,True
110084,贵燃转债,128.006,-1.07,153.276,25.27,102.1807,6.42,109.6691,AA,10.0,1.2539356605065024,110.0,115.5,True,条款解析,2027-12-27,True
127050,麒麟转债,117.14,-1.22,153.67000000000002,36.53,85.7996,15.07,109.895,AA,21.989391,1.1279945242984257,110.0,115.5,True,条款解析,2027-11-11,True
111017,蓝天转债,126.388,-0.71,153.918,27.53,99.1071,6.72,107.9706,AA,8.7,2.8884325804243667,111.8,117.39,True,条款解析,2029-08-15,True
127046,百润转债,123.721,0.05,154.381,30.66,94.6877,20.33,110.1032,AA,11.28,1.0102669404517455,110.0,115.5,True,条款解析,2027-09-29,True
123133,佩蒂转债,126.974,-1.05,155.494,28.52,98.8,15.0,114.4641,AA-,7.2,1.2402464065708418,115.0,120.75,True,条款解析,2027-12-22,True
123150,九强转债,129.75,-1.26,156.51,26.76,102.3581,11.45,108.6906,AA-,11.39,1.7631759069130732,110.0,115.5,True,条款解析,2028-06-30,True
110098,南药转债,129.714,-1.01,157.844,28.13,101.2346,4.86,104.5708,AA+,10.81491,4.249144421629021,111.9,117.495,True,条款解析,2030-12-25,True
113640,苏利转债,126.14,-1.36,158.12,31.98,95.572,10.84,114.1094,AA-,9.57211,1.3935660506502396,114.1094,119.81487,True,纯债价值回退,2028-02-16,True
123119,康泰转2,116.66,-1.22,158.76999999999998,42.11,82.0905,15.69,110.6371,AA,20.0,0.8021902806297057,110.6371,116.16895500000001,True,纯债价值回退,2027-07-15,True
113048,晶科转债,112.356,-0.19,159.206,46.85,76.5101,4.47,111.0269,AA,30.0,0.5749486652977412,112.0,117.60000000000001,False,条款解析,2027-04-23,True
113659,莱克转债,128.537,-2.14,159.637,31.1,98.0454,31.72,109.6652,AA,12.0,2.0533880903490758,111.8,117.39,True,条款解析,2028-10-14,True
110087,天业转债,116.663,-2.52,160.88299999999998,44.22,80.8929,5.6,106.8582,AA+,30.0,1.7440109514031485,108.0,113.4,True,条款解析,2028-06-23,True
113636,甬金转债,128.207,-1.32,160.96699999999998,32.76,96.5675,26.22,115.0188,AA-,10.0,1.215605749486653,115.0,120.75,True,条款解析,2027-12-13,True
127082,亚科转债,128.678,-1.92,163.558,34.88,95.4023,5.22,110.7887,AA,11.59,2.4531143052703626,113.8,119.49000000000001,True,条款解析,2029-03-09,True
113067,燃23转债,121.919,-0.69,164.519,42.6,85.4972,7.24,105.1651,AAA,30.0,2.836413415468857,108.8,114.24,True,条款解析,2029-07-27,True
127034,绿茵转债,119.728,-0.64,166.56799999999998,46.84,81.5343,11.21,111.8765,AA-,7.12,0.5941136208076659,113.0,118.65,True,条款解析,2027-04-30,True
113070,渝水转债,122.208,-1.13,167.138,44.93,84.322,4.72,103.8135,AAA,19.0,4.290212183436003,110.9,116.44500000000001,True,条款解析,2031-01-09,True
110093,神马转债,116.54,-1.79,167.2,50.66,77.3515,8.08,105.821,AAA,30.0,2.4722792607802875,108.8,114.24,True,条款解析,2029-03-16,True
123172,漱玉转债,125.839,0.05,167.439,41.6,88.8665,14.91,111.6398,AA-,8.0,2.223134839151266,115.0,120.75,True,条款解析,2028-12-15,True
127105,龙星转债,129.288,-1.38,167.638,38.35,93.4483,5.8,111.0596,AA-,7.547539,3.353867214236824,118.5,124.42500000000001,True,条款解析,2030-02-01,True
113649,丰山转债,126.176,-0.89,168.536,42.36,88.6347,13.55,113.2517,AA-,5.0,1.754962354551677,115.0,120.75,True,条款解析,2028-06-27,True
127059,永东转2,122.88,-2.36,169.0,46.12,84.0937,8.11,113.7756,AA-,3.8,1.5359342915811087,113.7756,119.46438,True,纯债价值回退,2028-04-08,True
127054,双箭转债,119.487,-0.85,169.327,49.84,79.7414,6.96,111.3972,AA,5.1364,1.379876796714579,112.0,117.60000000000001,True,条款解析,2028-02-11,True
123183,海顺转债,123.1,-1.16,174.6,51.5,81.2554,11.63,112.8012,AA-,6.33,2.4914442162902124,117.0,122.85000000000001,True,条款解析,2029-03-23,True
110100,龙建转债,115.789,-1.06,178.81900000000002,63.03,71.024,4.59,102.9831,AA,10.0,5.325119780971937,113.4,119.07000000000001,False,条款解析,2032-01-22,True
