转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,118.575,-0.76,134.705,16.13,102.1084,3.32,108.7808,AAA,30.0,0.7446954140999316,110.0,115.5,True,条款解析,2027-06-21,True
113058,友发转债,128.743,-0.22,141.613,12.87,114.0625,4.48,111.1025,AA,20.0,1.5195071868583163,111.1025,116.65762500000001,True,纯债价值回退,2028-03-30,True
113048,晶科转债,113.402,0.0,154.99200000000002,41.59,80.0895,4.47,111.0079,AA,30.0,0.5831622176591376,112.0,117.60000000000001,False,条款解析,2027-04-23,True
113054,绿动转债,125.414,0.0,155.164,29.75,96.6551,8.67,108.3846,AA+,23.6,1.4264202600958247,109.0,114.45,True,条款解析,2028-02-25,True
123149,通裕转债,129.872,-0.07,155.572,25.7,103.321,2.71,110.6722,AA,14.8472,1.7440109514031485,112.0,117.60000000000001,True,条款解析,2028-06-20,True
123114,三角转债,124.799,0.74,155.959,31.16,95.152,22.69,113.6825,AA-,9.043727,0.6707734428473648,113.6825,119.36662500000001,True,纯债价值回退,2027-05-25,True
111017,蓝天转债,128.788,-0.32,157.198,28.41,100.2976,6.72,107.9244,AA,8.7,2.8966461327857633,111.8,117.39,True,条款解析,2029-08-15,True
127050,麒麟转债,120.343,-0.05,159.523,39.18,86.4632,15.07,109.8588,AA,21.989391,1.136208076659822,110.0,115.5,True,条款解析,2027-11-11,True
123119,康泰转2,118.541,0.51,161.721,43.18,82.7916,15.69,110.6201,AA,20.0,0.810403832991102,110.6201,116.151105,True,纯债价值回退,2027-07-15,True
127046,百润转债,124.12,0.77,162.08,37.96,89.9656,20.33,110.0733,AA,11.28,1.0184804928131417,110.0,115.5,True,条款解析,2027-09-29,True
113640,苏利转债,129.963,0.57,162.873,32.91,97.786,10.84,114.0852,AA-,9.57211,1.4017796030116358,114.0852,119.78946,True,纯债价值回退,2028-02-16,True
110087,天业转债,121.39,0.56,166.02,44.63,83.9286,5.6,106.8076,AA+,30.0,1.7522245037645447,108.0,113.4,True,条款解析,2028-06-23,True
113067,燃23转债,124.836,-0.36,167.846,43.01,87.2928,7.24,105.1014,AAA,30.0,2.844626967830253,108.8,114.24,True,条款解析,2029-07-27,True
127034,绿茵转债,122.0,-0.16,170.98,48.98,81.8912,11.21,111.8405,AA-,7.12,0.6023271731690623,113.0,118.65,True,条款解析,2027-04-30,True
113070,渝水转债,124.917,-0.28,171.587,46.67,85.1695,4.72,103.7107,AAA,19.0,4.298425735797399,110.9,116.44500000000001,True,条款解析,2031-01-09,True
110093,神马转债,120.496,0.39,172.386,51.89,79.3317,8.08,105.7782,AAA,30.0,2.4804928131416837,108.8,114.24,True,条款解析,2029-03-16,True
123172,漱玉转债,128.354,1.63,174.22400000000002,45.87,87.9946,14.91,111.5806,AA-,8.0,2.2313483915126624,115.0,120.75,True,条款解析,2028-12-15,True
127054,双箭转债,122.435,-0.13,174.335,51.9,80.6034,6.96,111.3513,AA,5.1364,1.3880903490759753,112.0,117.60000000000001,True,条款解析,2028-02-11,True
113649,丰山转债,128.685,0.07,175.005,46.32,87.95,13.61,113.208,AA-,5.0,1.7631759069130732,115.0,120.75,True,条款解析,2028-06-27,True
123183,海顺转债,126.132,0.18,178.30200000000002,52.17,82.8891,11.63,112.7407,AA-,6.33,2.4996577686516086,117.0,122.85000000000001,True,条款解析,2029-03-23,True
127059,永东转2,128.338,0.13,179.838,51.5,84.7102,8.11,113.7457,AA-,3.8,1.5441478439425051,113.7457,119.432985,True,纯债价值回退,2028-04-08,True
110090,爱迪转债,128.98,0.44,181.01,52.03,84.8397,17.15,109.2323,AA,15.7,2.004106776180698,109.2323,114.693915,True,纯债价值回退,2028-09-23,True
127108,太能转债,122.908,-0.36,181.628,58.72,77.4368,5.54,108.3098,AA+,29.5,4.511978097193703,108.3098,113.72529,True,纯债价值回退,2031-03-28,True
110100,龙建转债,118.566,0.54,182.486,63.92,72.3312,4.59,102.9743,AA,10.0,5.333333333333333,113.4,119.07000000000001,False,条款解析,2032-01-22,True
