转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
111017,蓝天转债,127.298,-0.57,154.788,27.49,99.8512,6.72,107.9403,AA,8.7,2.891170431211499,111.8,117.39,True,条款解析,2029-08-15,True
113067,燃23转债,122.77,-0.72,165.44,42.67,86.0497,7.24,105.1404,AAA,30.0,2.839151266255989,108.8,114.24,True,条款解析,2029-07-27,True
113070,渝水转债,123.607,-0.7,169.827,46.22,84.5339,4.72,103.7757,AAA,19.0,4.292950034223135,110.9,116.44500000000001,True,条款解析,2031-01-09,True
110093,神马转债,118.66,-0.72,170.36,51.7,78.2178,8.08,105.8023,AAA,30.0,2.4750171115674195,108.8,114.24,True,条款解析,2029-03-16,True
123172,漱玉转债,125.781,-1.29,173.221,47.44,85.3119,14.91,111.5985,AA-,8.0,2.2258726899383983,115.0,120.75,True,条款解析,2028-12-15,True
123183,海顺转债,124.551,-0.81,178.001,53.45,81.1694,11.63,112.7546,AA-,6.33,2.4941820670773445,117.0,122.85000000000001,True,条款解析,2029-03-23,True
127108,太能转债,121.26,-0.7,181.21,59.95,75.8123,5.54,108.3849,AA+,29.5,4.506502395619439,108.3849,113.804145,True,纯债价值回退,2031-03-28,True
110100,龙建转债,117.027,-0.52,181.797,64.77,71.024,4.59,102.9816,AA,10.0,5.327857631759069,113.4,119.07000000000001,False,条款解析,2032-01-22,True
127102,浙建转债,119.0,-0.24,183.20999999999998,64.21,72.468,10.17,106.0804,AA+,10.0,3.252566735112936,111.3,116.865,True,条款解析,2029-12-25,True
123193,海能转债,128.005,-0.98,185.295,57.29,81.3793,14.5,112.5871,AA-,6.0,2.5516769336071183,117.0,122.85000000000001,True,条款解析,2029-04-13,True
110095,双良转债,113.06,-0.71,185.57999999999998,72.52,65.534,6.18,106.737,AA-,26.0,2.8720054757015743,111.8,117.39,False,条款解析,2029-08-08,True
111018,华康转债,123.526,-0.98,189.576,66.05,74.3895,15.97,111.3319,AA-,13.03023,3.252566735112936,118.5,124.42500000000001,False,条款解析,2029-12-25,True
123216,科顺转债,122.714,-0.56,189.964,67.25,73.3737,6.61,111.4754,AA-,21.98,2.861054072553046,116.8,122.64,True,条款解析,2029-08-04,True
113674,华设转债,125.8,-0.63,193.29,67.49,75.1085,6.91,109.9887,AA,4.0,2.8227241615331966,113.8,119.49000000000001,True,条款解析,2029-07-21,True
113692,保隆转债,127.225,-0.06,195.615,68.39,75.5544,38.78,105.6499,AA,13.9,4.101300479123887,113.1,118.755,True,条款解析,2030-10-31,True
123253,永贵转债,129.422,-0.75,196.382,66.96,77.5151,18.19,106.5922,AA-,9.8,4.465434633812457,117.2,123.06,True,条款解析,2031-03-13,True
113682,益丰转债,124.325,-0.05,201.275,76.95,70.2608,31.44,107.8172,AA,17.97432,3.4414784394250515,113.3,118.965,True,条款解析,2030-03-04,True
123252,银邦转债,128.182,-0.99,202.53199999999998,74.35,73.52,12.5,107.0954,AA-,7.85,4.287474332648871,107.0954,112.45017,True,纯债价值回退,2031-01-07,True
123168,惠云转债,126.626,-0.9,203.936,77.31,71.4153,10.74,113.8725,AA-,4.9,2.1656399726214923,113.8725,119.56612500000001,True,纯债价值回退,2028-11-23,True
113679,芯能转债,123.543,-1.77,212.853,89.31,65.259,12.55,111.9918,AA-,8.8,3.0882956878850103,118.5,124.42500000000001,False,条款解析,2029-10-26,True
123262,神宇转债,129.299,-0.88,216.669,87.37,69.0057,38.62,100.7751,AA-,5.0,5.212867898699521,100.7751,105.813855,True,纯债价值回退,2031-12-11,True
127085,韵达转债,118.525,-1.11,217.155,98.63,59.6704,11.53,106.8375,AA+,24.5,2.546201232032854,109.8,115.29,True,条款解析,2029-04-11,True
123264,双乐转债,121.801,-0.08,218.501,96.7,61.9231,36.4,100.5947,AA-,8.0,5.253935660506502,113.5,119.17500000000001,True,条款解析,2031-12-26,True
113666,爱玛转债,118.499,0.01,221.249,102.75,58.4458,37.06,108.9092,AA,20.0,2.4175222450376452,111.8,117.39,True,条款解析,2029-02-23,True
113671,武进转债,123.315,-0.94,223.255,99.94,61.6751,7.88,108.1445,AA,3.1,2.7926078028747434,108.1445,113.551725,True,纯债价值回退,2029-07-10,True
111009,盛泰转债,120.142,-0.46,223.47199999999998,103.33,59.0866,10.51,109.5002,AA,7.0118,2.1218343600273784,111.8,117.39,True,条款解析,2028-11-07,True
123192,科思转债,121.96,-1.09,224.29,102.33,60.2771,17.32,112.5871,AA-,7.249178,2.5516769336071183,117.0,122.85000000000001,False,条款解析,2029-04-13,True
113700,海天转债,127.071,-0.76,225.93099999999998,98.86,63.9001,12.41,102.8768,AA,8.01,5.366187542778919,113.4,119.07000000000001,True,条款解析,2032-02-05,True
113693,志邦转债,120.641,-0.71,237.561,116.92,55.6155,11.13,105.7162,AA,6.7,4.479123887748118,113.8,119.49000000000001,True,条款解析,2031-03-18,True
118042,奥维转债,125.398,-0.39,254.03799999999998,128.64,54.8453,83.69,111.6191,AA-,11.4,2.8774811772758384,117.0,122.85000000000001,True,条款解析,2029-08-10,True
111014,李子转债,119.32,-0.38,259.94,140.62,49.5881,18.21,110.1667,AA,6.0,2.737850787132101,113.8,119.49000000000001,False,条款解析,2029-06-20,True
