转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,119.291,0.39,136.12099999999998,16.83,102.1084,3.32,108.734,AAA,30.0,0.7638603696098563,110.0,115.5,True,条款解析,2027-06-21,True
123149,通裕转债,129.623,0.37,155.533,25.91,102.952,2.71,110.6236,AA,14.8472,1.7631759069130732,112.0,117.60000000000001,True,条款解析,2028-06-20,True
113054,绿动转债,125.809,-0.26,157.22899999999998,31.42,95.7324,8.67,108.3257,AA+,23.6,1.4455852156057496,109.0,114.45,True,条款解析,2028-02-25,True
123114,三角转债,125.66,-0.61,158.34,32.68,94.7113,22.69,113.6313,AA-,9.043727,0.6899383983572895,113.6313,119.312865,True,纯债价值回退,2027-05-25,True
113048,晶科转债,114.643,0.22,158.993,44.35,79.4183,4.47,110.9669,AA,30.0,0.6023271731690623,112.0,117.60000000000001,False,条款解析,2027-04-23,True
127050,麒麟转债,122.319,0.02,161.859,39.54,87.6576,15.07,109.7927,AA,21.989391,1.1553730321697468,110.0,115.5,True,条款解析,2027-11-11,True
113640,苏利转债,129.995,0.3,162.305,32.31,98.2472,10.84,114.0091,AA-,9.57211,1.4209445585215605,114.0091,119.70955500000001,True,纯债价值回退,2028-02-16,True
123133,佩蒂转债,128.59,0.91,165.48000000000002,36.89,93.9333,15.0,114.3636,AA-,7.2,1.267624914442163,115.0,120.75,True,条款解析,2027-12-22,True
127046,百润转债,123.639,0.61,167.519,43.88,85.9321,20.33,110.0112,AA,11.28,1.0376454483230664,110.0,115.5,True,条款解析,2027-09-29,True
113067,燃23转债,126.956,0.54,168.36599999999999,41.41,89.779,7.24,105.0987,AAA,30.0,2.863791923340178,108.8,114.24,True,条款解析,2029-07-27,True
110087,天业转债,123.097,0.7,168.527,45.43,84.6429,5.6,106.7748,AA+,30.0,1.7713894592744694,108.0,113.4,True,条款解析,2028-06-23,True
113070,渝水转债,125.18,0.52,169.29000000000002,44.11,86.8644,4.72,103.5552,AAA,19.0,4.317590691307323,110.9,116.44500000000001,True,条款解析,2031-01-09,True
127034,绿茵转债,121.0,2.46,171.05,50.05,80.6423,11.21,111.7935,AA-,7.12,0.621492128678987,113.0,118.65,True,条款解析,2027-04-30,True
110093,神马转债,120.939,0.52,174.339,53.4,78.8366,8.08,105.778,AAA,30.0,2.4996577686516086,108.8,114.24,True,条款解析,2029-03-16,True
113649,丰山转债,129.395,0.94,177.13500000000002,47.74,87.5827,13.61,113.1497,AA-,5.0,1.782340862422998,115.0,120.75,True,条款解析,2028-06-27,True
127054,双箭转债,123.057,1.01,178.21699999999998,55.16,79.3103,6.96,111.2844,AA,5.1364,1.4072553045859,112.0,117.60000000000001,True,条款解析,2028-02-11,True
123172,漱玉转债,125.7,1.13,178.95,53.25,82.0255,14.91,111.5395,AA-,8.0,2.2505133470225873,115.0,120.75,True,条款解析,2028-12-15,True
110100,龙建转债,118.026,1.4,180.226,62.2,72.7669,4.59,102.6977,AA,10.0,5.352498288843258,113.4,119.07000000000001,False,条款解析,2032-01-22,True
123119,康泰转2,121.074,1.15,180.574,59.5,75.9082,15.69,110.5663,AA,20.0,0.8295687885010267,110.5663,116.094615,True,纯债价值回退,2027-07-15,True
127108,太能转债,123.653,0.52,181.133,57.48,78.5199,5.54,108.0904,AA+,29.5,4.531143052703627,108.0904,113.49492000000001,True,纯债价值回退,2031-03-28,True
127059,永东转2,128.804,0.86,181.974,53.17,84.0937,8.11,113.6747,AA-,3.8,1.5633127994524298,113.6747,119.358435,True,纯债价值回退,2028-04-08,True
123183,海顺转债,125.78,0.89,183.07,57.29,79.9656,11.63,112.6868,AA-,6.33,2.518822724161533,117.0,122.85000000000001,True,条款解析,2029-03-23,True
110095,双良转债,115.571,0.62,184.421,68.85,68.4466,6.18,106.6435,AA-,26.0,2.8966461327857633,111.8,117.39,False,条款解析,2029-08-08,True
127102,浙建转债,119.7,0.45,186.69,66.99,71.6814,10.17,106.0124,AA+,10.0,3.277207392197125,111.3,116.865,True,条款解析,2029-12-25,True
111018,华康转债,125.817,1.16,186.817,61.0,78.1465,15.97,111.1881,AA-,13.03023,3.277207392197125,118.5,124.42500000000001,True,条款解析,2029-12-25,True
113652,伟22转债,122.336,1.38,188.776,66.44,73.5016,19.02,108.5186,AA,14.77,1.8507871321013005,110.0,115.5,True,条款解析,2028-07-22,True
110086,精工转债,121.257,0.99,193.347,72.09,70.4595,4.57,110.9237,AA,20.0,1.6016427104722792,110.9237,116.469885,True,纯债价值回退,2028-04-22,True
113674,华设转债,127.628,0.76,194.988,67.36,76.259,6.95,109.9624,AA,4.0,2.847364818617385,113.8,119.49000000000001,True,条款解析,2029-07-21,True
113647,禾丰转债,117.417,0.69,195.30700000000002,77.89,66.0059,10.09,110.9237,AA,15.0,1.6016427104722792,112.0,117.60000000000001,False,条款解析,2028-04-22,True
110090,爱迪转债,126.468,0.56,195.918,69.45,74.6356,17.15,109.2004,AA,15.7,2.023271731690623,109.2004,114.66042,True,纯债价值回退,2028-09-23,True
123216,科顺转债,121.567,1.05,196.257,74.69,69.5915,6.61,111.3789,AA-,21.98,2.8856947296372346,116.8,122.64,False,条款解析,2029-08-04,True
113682,益丰转债,125.005,0.41,198.445,73.44,72.0738,31.44,107.7444,AA,17.97432,3.46611909650924,113.3,118.965,True,条款解析,2030-03-04,True
127069,小熊转债,125.597,0.64,199.21699999999998,73.62,72.3404,43.71,113.3336,AA-,5.36,1.9082819986310746,113.3336,119.00028,True,纯债价值回退,2028-08-12,True
113627,太平转债,111.733,0.2,201.423,89.69,58.9034,20.61,108.5919,AA,8.0,0.8295687885010267,110.0,115.5,False,条款解析,2027-07-15,True
113692,保隆转债,128.481,1.24,203.18099999999998,74.7,73.5444,39.16,105.4019,AA,13.9,4.125941136208077,113.1,118.755,True,条款解析,2030-10-31,True
113648,巨星转债,116.827,0.84,206.247,89.42,61.6747,24.84,108.9601,AA-,10.0,1.6098562628336757,110.0,115.5,True,条款解析,2028-04-25,True
123193,海能转债,125.508,1.01,210.268,84.76,67.931,14.5,112.516,AA-,6.0,2.5763175906913074,117.0,122.85000000000001,True,条款解析,2029-04-13,True
123168,惠云转债,126.913,1.02,212.113,85.2,68.5289,10.74,113.8127,AA-,4.9,2.190280629705681,113.8127,119.503335,True,纯债价值回退,2028-11-23,True
113679,芯能转债,125.831,0.9,213.381,87.55,67.0916,12.55,111.8725,AA-,8.8,3.1129363449691994,118.5,124.42500000000001,True,条款解析,2029-10-26,True
127044,蒙娜转债,117.0,1.75,214.6,97.6,59.2105,19.76,110.1974,AA-,11.6893,0.917180013689254,110.1974,115.70727000000001,True,纯债价值回退,2027-08-16,True
127068,顺博转债,120.199,1.01,219.199,99.0,60.4,10.0,106.0927,AA-,8.3,1.9082819986310746,106.0927,111.397335,True,纯债价值回退,2028-08-12,True
123113,仙乐转债,114.569,0.32,220.859,106.29,55.538,31.69,111.8542,AA-,10.248929,0.5913757700205339,113.0,118.65,False,条款解析,2027-04-19,True
113634,珀莱转债,121.53,-0.11,222.98000000000002,101.45,60.3267,94.27,114.559,AA,7.51713,1.2292950034223136,115.0,120.75,True,条款解析,2027-12-08,True
127085,韵达转债,119.563,1.08,223.793,104.23,58.5429,11.53,106.7969,AA+,24.5,2.5708418891170433,109.8,115.29,True,条款解析,2029-04-11,True
123264,双乐转债,121.575,1.09,224.66500000000002,103.09,59.8626,36.4,100.0783,AA-,8.0,5.278576317590692,113.5,119.17500000000001,True,条款解析,2031-12-26,True
113671,武进转债,125.976,1.22,224.916,98.94,63.3249,7.88,108.118,AA,3.1,2.817248459958932,108.118,113.5239,True,纯债价值回退,2029-07-10,True
113655,欧22转债,118.92,0.87,225.4,106.48,57.5941,51.29,110.3872,AA,20.0,1.88911704312115,110.3872,115.90656000000001,True,纯债价值回退,2028-08-05,True
113666,爱玛转债,121.316,1.62,226.70600000000002,105.39,59.0664,37.06,108.8757,AA,20.0,2.4421629021218343,111.8,117.39,True,条款解析,2029-02-23,True
113638,台21转债,122.426,0.76,231.836,109.41,58.4635,16.01,111.5093,AA,6.0,1.2867898699520877,112.0,117.60000000000001,True,条款解析,2027-12-29,True
123192,科思转债,123.738,0.85,233.648,109.91,58.9492,17.32,112.516,AA-,7.249178,2.5763175906913074,117.0,122.85000000000001,True,条款解析,2029-04-13,True
111009,盛泰转债,121.472,1.5,233.892,112.42,57.1836,10.51,109.4577,AA,7.0118,2.1464750171115674,111.8,117.39,True,条款解析,2028-11-07,True
113693,志邦转债,120.784,0.87,242.25400000000002,121.47,54.5373,11.13,105.4531,AA,6.7,4.503764544832307,113.8,119.49000000000001,True,条款解析,2031-03-18,True
127062,垒知转债,122.969,0.38,244.309,121.34,55.5556,7.56,113.5903,AA-,3.963,1.5989048596851472,113.5903,119.26981500000001,True,纯债价值回退,2028-04-21,True
113700,海天转债,129.249,1.61,246.589,117.34,59.4682,12.41,102.585,AA,8.01,5.390828199863107,113.4,119.07000000000001,True,条款解析,2032-02-05,True
111014,李子转债,120.722,0.53,263.36199999999997,142.64,49.7529,18.21,110.1386,AA,6.0,2.7624914442162902,113.8,119.49000000000001,True,条款解析,2029-06-20,True
118068,迪威转债,126.583,0.56,272.413,145.83,51.4928,32.49,97.3349,AA-,9.07705,5.71937029431896,113.5,119.17500000000001,True,条款解析,2032-06-04,True
118042,奥维转债,123.248,0.88,277.428,154.18,48.4885,83.69,111.5209,AA-,11.4,2.9021218343600275,117.0,122.85000000000001,True,条款解析,2029-08-10,True
113650,博22转债,121.1,0.84,288.46000000000004,167.36,45.2944,23.27,113.1231,AA-,8.0,1.7932922655715264,115.0,120.75,True,条款解析,2028-07-01,True
123117,健帆转债,109.619,0.05,289.539,179.92,39.1612,38.15,108.6987,AA,10.0,0.7693360711841205,108.6987,114.13363500000001,False,纯债价值回退,2027-06-23,True
118066,统联转债,126.971,0.5,294.991,168.02,47.3731,55.96,98.9945,AA-,5.76,5.462012320328542,113.5,119.17500000000001,True,条款解析,2032-03-02,True
123180,浙矿转债,129.493,1.02,309.613,180.12,46.2282,47.59,112.7995,AA-,3.2,2.4804928131416837,117.0,122.85000000000001,True,条款解析,2029-03-09,True
113670,金23转债,121.681,0.82,316.381,194.7,41.2893,37.54,113.3731,AA,7.7,2.5872689938398357,116.8,122.64,False,条款解析,2029-04-17,True
113660,寿22转债,122.352,1.03,336.24199999999996,213.89,38.9794,36.84,110.7859,AA-,3.98,2.1738535249828885,114.0,119.7,True,条款解析,2028-11-17,True
118032,建龙转债,123.773,0.74,372.163,248.39,35.5272,71.41,112.8074,AA-,7.0,2.4777549623545516,117.0,122.85000000000001,True,条款解析,2029-03-08,True
