转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,121.694,0.12,142.304,20.61,100.9009,3.33,108.6273,AAA,30.0,0.8295687885010267,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,115.424,0.39,158.744,43.32,80.5369,4.47,110.8509,AA,30.0,0.6680355920602327,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123114,三角转债,126.53,0.0,164.23000000000002,37.7,91.8907,22.69,113.4602,AA-,9.043727,0.75564681724846,113.4602,119.13321,True,纯债价值回退,2027-05-25,True
127034,绿茵转债,121.8,-0.09,169.89,48.09,82.248,11.21,111.6245,AA-,7.12,0.6872005475701575,113.0,118.65,True,条款解析,2027-04-30,True
113070,渝水转债,126.708,-0.38,172.578,45.87,86.8644,4.72,103.4495,AAA,19.0,4.383299110198494,110.9,116.44500000000001,True,条款解析,2031-01-09,True
127046,百润转债,128.608,-0.78,172.668,44.06,89.2769,20.33,109.889,AA,11.28,1.103353867214237,110.0,115.5,True,条款解析,2027-09-29,True
110087,天业转债,123.999,-1.04,173.97899999999998,49.98,82.6786,5.6,106.6125,AA+,30.0,1.83709787816564,108.0,113.4,True,条款解析,2028-06-23,True
113054,绿动转债,122.347,0.01,174.09699999999998,51.75,80.6228,8.67,108.1849,AA+,23.6,1.51129363449692,109.0,114.45,True,条款解析,2028-02-25,True
123119,康泰转2,124.5,-1.83,174.42000000000002,49.92,83.0465,15.69,110.4453,AA,20.0,0.8952772073921971,110.4453,115.96756500000001,True,纯债价值回退,2027-07-15,True
113067,燃23转债,128.026,-0.14,175.626,47.6,86.7403,7.24,104.9937,AAA,30.0,2.9295003422313486,108.8,114.24,True,条款解析,2029-07-27,True
123172,漱玉转债,129.98,-0.4,176.79999999999998,46.82,88.5312,14.91,111.2643,AA-,8.0,2.316221765913758,115.0,120.75,True,条款解析,2028-12-15,True
123133,佩蒂转债,129.2,-0.42,179.42999999999998,50.23,86.0,15.0,114.1347,AA-,7.2,1.3333333333333333,115.0,120.75,True,条款解析,2027-12-22,True
110093,神马转债,123.383,0.21,182.63299999999998,59.25,77.4752,8.08,105.6628,AAA,30.0,2.565366187542779,108.8,114.24,True,条款解析,2029-03-16,True
127054,双箭转债,124.9,0.0,182.96,58.06,79.023,6.96,111.148,AA,5.1364,1.4729637234770705,112.0,117.60000000000001,True,条款解析,2028-02-11,True
127108,太能转债,124.0,-0.4,187.17000000000002,63.17,75.9928,5.54,107.8947,AA+,29.5,4.596851471594798,107.8947,113.28943500000001,True,纯债价值回退,2031-03-28,True
110095,双良转债,117.354,0.82,189.624,72.27,68.123,6.18,106.3014,AA-,26.0,2.9623545516769334,111.8,117.39,False,条款解析,2029-08-08,True
110086,精工转债,122.948,-0.05,191.178,68.23,73.0853,4.57,110.772,AA,20.0,1.6673511293634498,110.772,116.31060000000001,True,纯债价值回退,2028-04-22,True
113652,伟22转债,126.608,-0.42,191.548,64.94,76.7613,19.02,108.3441,AA,14.77,1.9164955509924708,110.0,115.5,True,条款解析,2028-07-22,True
123216,科顺转债,123.0,-0.35,192.03,69.03,72.7685,6.61,111.0224,AA-,21.98,2.951403148528405,116.8,122.64,True,条款解析,2029-08-04,True
110100,龙建转债,122.154,-0.01,194.67399999999998,72.52,70.8061,4.59,102.2221,AA,10.0,5.418206707734429,113.4,119.07000000000001,True,条款解析,2032-01-22,True
127102,浙建转债,121.07,-0.76,194.73,73.66,69.7148,10.17,105.8457,AA+,10.0,3.3429158110882957,111.3,116.865,True,条款解析,2029-12-25,True
113682,益丰转债,128.54,-0.59,197.42,68.88,76.1132,31.44,107.5625,AA,17.97432,3.5318275154004106,113.3,118.965,True,条款解析,2030-03-04,True
113674,华设转债,128.194,-0.12,199.204,71.01,74.964,6.95,109.7919,AA,4.0,2.9130732375085557,113.8,119.49000000000001,True,条款解析,2029-07-21,True
127069,小熊转债,128.99,-0.35,199.38,70.39,75.7035,43.71,113.0861,AA-,5.36,1.9739904175222451,113.0861,118.74040500000001,True,纯债价值回退,2028-08-12,True
113627,太平转债,115.448,-0.32,205.798,90.35,60.6502,20.61,108.473,AA,8.0,0.8952772073921971,110.0,115.5,False,条款解析,2027-07-15,True
111004,明新转债,126.901,-0.17,206.81099999999998,79.91,70.5375,24.37,113.9884,AA-,6.73,1.6043805612594113,115.0,120.75,True,条款解析,2028-03-30,True
111018,华康转债,123.949,-0.19,207.459,83.51,67.5439,15.96,110.8284,AA-,13.03023,3.3429158110882957,118.5,124.42500000000001,False,条款解析,2029-12-25,True
113647,禾丰转债,118.325,-0.3,209.04500000000002,90.72,62.0416,10.09,110.772,AA,15.0,1.6673511293634498,112.0,117.60000000000001,True,条款解析,2028-04-22,True
123193,海能转债,127.342,-0.56,211.252,83.91,69.2414,14.5,112.1942,AA-,6.0,2.642026009582478,117.0,122.85000000000001,True,条款解析,2029-04-13,True
113655,欧22转债,121.064,-0.07,214.684,93.62,62.5268,51.29,110.2051,AA,20.0,1.9548254620123204,110.2051,115.715355,True,纯债价值回退,2028-08-05,True
123168,惠云转债,127.728,0.08,215.90800000000002,88.18,67.8771,10.74,113.5388,AA-,4.9,2.2559890485968515,113.5388,119.21574,True,纯债价值回退,2028-11-23,True
113648,巨星转债,116.728,-0.04,218.788,102.06,57.7697,24.84,108.7296,AA-,10.0,1.675564681724846,110.0,115.5,True,条款解析,2028-04-25,True
127068,顺博转债,123.4,-0.2,220.52,97.12,62.6,10.0,105.8609,AA-,8.3,1.9739904175222451,105.8609,111.15394500000001,True,纯债价值回退,2028-08-12,True
113693,志邦转债,123.92,-0.89,222.37,98.45,62.4438,11.13,105.2228,AA,6.7,4.569472963723477,113.8,119.49000000000001,True,条款解析,2031-03-18,True
123192,科思转债,124.955,0.02,222.965,98.01,63.1062,17.32,112.1942,AA-,7.249178,2.642026009582478,117.0,122.85000000000001,True,条款解析,2029-04-13,True
123264,双乐转债,123.546,0.24,224.936,101.39,61.3462,36.4,99.0957,AA-,8.0,5.344284736481861,113.5,119.17500000000001,True,条款解析,2031-12-26,True
113634,珀莱转债,122.812,-0.04,225.922,103.11,60.4646,94.27,114.4276,AA,7.51713,1.2950034223134839,115.0,120.75,True,条款解析,2027-12-08,True
113671,武进转债,127.403,0.05,226.59300000000002,99.19,63.9594,7.88,107.9485,AA,3.1,2.8829568788501025,107.9485,113.345925,True,纯债价值回退,2029-07-10,True
113666,爱玛转债,121.5,-0.51,233.2,111.7,57.3934,37.06,108.6805,AA,20.0,2.507871321013005,111.8,117.39,True,条款解析,2029-02-23,True
127085,韵达转债,121.5,0.22,233.76,112.26,57.242,11.53,106.6108,AA+,24.5,2.6365503080082138,109.8,115.29,True,条款解析,2029-04-11,True
123113,仙乐转债,114.773,-0.06,234.673,119.9,52.1931,31.69,111.6849,AA-,10.248929,0.6570841889117043,113.0,118.65,False,条款解析,2027-04-19,True
127044,蒙娜转债,115.75,-0.49,241.54000000000002,125.79,51.2652,19.76,110.0059,AA-,11.6893,0.9828884325804244,110.0059,115.506195,True,纯债价值回退,2027-08-16,True
