转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,121.799,-1.01,142.869,21.07,100.6006,3.33,108.6755,AAA,30.0,0.8021902806297057,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,114.643,-0.99,154.653,40.01,81.8792,4.47,110.8879,AA,30.0,0.6406570841889117,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123114,三角转债,128.027,-0.63,158.34699999999998,30.32,98.2371,22.69,113.5002,AA-,9.043727,0.7282683093771389,113.5002,119.17521,True,纯债价值回退,2027-05-25,True
127034,绿茵转债,122.136,-0.05,160.716,38.58,88.1356,11.21,111.6667,AA-,7.12,0.6598220396988365,113.0,118.65,True,条款解析,2027-04-30,True
127050,麒麟转债,128.405,-1.26,165.35500000000002,36.95,93.7624,15.07,109.7156,AA,21.989391,1.1937029431895962,110.0,115.5,True,条款解析,2027-11-11,True
113054,绿动转债,125.785,2.33,165.425,39.64,90.0807,8.67,108.2402,AA+,23.6,1.483915126625599,109.0,114.45,True,条款解析,2028-02-25,True
113070,渝水转债,125.066,-1.21,167.996,42.93,87.5,4.72,103.3609,AAA,19.0,4.355920602327173,110.9,116.44500000000001,True,条款解析,2031-01-09,True
110087,天业转债,125.126,-0.62,169.606,44.48,86.6071,5.6,106.6541,AA+,30.0,1.809719370294319,108.0,113.4,True,条款解析,2028-06-23,True
113067,燃23转债,128.629,-0.38,173.459,44.83,88.8122,7.24,105.0184,AAA,30.0,2.9021218343600275,108.8,114.24,True,条款解析,2029-07-27,True
127046,百润转债,128.0,-0.64,174.94,46.94,87.1126,20.33,109.9326,AA,11.28,1.0759753593429158,110.0,115.5,True,条款解析,2027-09-29,True
123119,康泰转2,123.349,-0.93,175.859,52.51,80.8795,15.69,110.4786,AA,20.0,0.8678986995208761,110.4786,116.00253000000001,True,纯债价值回退,2027-07-15,True
110093,神马转债,124.04,-1.34,176.36,52.32,81.4356,8.08,105.6608,AAA,30.0,2.537987679671458,108.8,114.24,True,条款解析,2029-03-16,True
127054,双箭转债,125.6,-0.48,180.6,55.0,81.0345,6.96,111.1962,AA,5.1364,1.4455852156057496,112.0,117.60000000000001,True,条款解析,2028-02-11,True
110095,双良转债,116.896,-0.98,185.296,68.4,69.4175,6.18,106.3522,AA-,26.0,2.9349760438056127,111.8,117.39,False,条款解析,2029-08-08,True
127108,太能转债,124.39,-0.84,185.4,61.01,77.2563,5.54,107.925,AA+,29.5,4.569472963723477,107.925,113.32125,True,纯债价值回退,2031-03-28,True
110100,龙建转债,121.72,-0.86,187.5,65.78,73.4205,4.59,102.4474,AA,10.0,5.390828199863107,113.4,119.07000000000001,True,条款解析,2032-01-22,True
127102,浙建转债,121.998,-0.67,190.348,68.35,72.468,10.17,105.8764,AA+,10.0,3.3155373032169746,111.3,116.865,True,条款解析,2029-12-25,True
110086,精工转债,123.474,-0.65,191.414,67.94,73.523,4.57,110.8164,AA,20.0,1.6399726214921286,110.8164,116.35722000000001,True,纯债价值回退,2028-04-22,True
123216,科顺转债,123.969,-0.36,191.539,67.57,73.9788,6.61,111.0757,AA-,21.98,2.924024640657084,116.8,122.64,True,条款解析,2029-08-04,True
113652,伟22转债,126.486,-0.76,192.856,66.37,76.0252,19.02,108.3825,AA,14.77,1.88911704312115,110.0,115.5,True,条款解析,2028-07-22,True
113674,华设转债,128.596,-0.83,198.186,69.59,75.8273,6.95,109.8144,AA,4.0,2.8856947296372346,113.8,119.49000000000001,True,条款解析,2029-07-21,True
113627,太平转债,114.393,-1.07,200.183,85.79,61.5721,20.61,108.5057,AA,8.0,0.8678986995208761,110.0,115.5,False,条款解析,2027-07-15,True
127069,小熊转债,128.826,-0.88,200.24599999999998,71.42,75.1544,43.71,113.1381,AA-,5.36,1.946611909650924,113.1381,118.795005,True,纯债价值回退,2028-08-12,True
113682,益丰转债,127.093,-0.65,201.733,74.64,72.7735,31.44,107.599,AA,17.97432,3.5044490075290895,113.3,118.965,True,条款解析,2030-03-04,True
113647,禾丰转债,117.995,-1.35,202.865,84.87,63.8256,10.09,110.8164,AA,15.0,1.6399726214921286,112.0,117.60000000000001,True,条款解析,2028-04-22,True
111018,华康转债,125.742,-0.52,206.49200000000002,80.75,69.5679,15.97,110.8729,AA-,13.03023,3.3155373032169746,118.5,124.42500000000001,True,条款解析,2029-12-25,True
113648,巨星转债,118.1,-0.79,210.58999999999997,92.49,61.3527,24.84,108.7835,AA-,10.0,1.648186173853525,110.0,115.5,True,条款解析,2028-04-25,True
123168,惠云转债,129.292,-0.39,211.042,81.75,71.1359,10.74,113.5964,AA-,4.9,2.2286105407255303,113.5964,119.27622000000001,True,纯债价值回退,2028-11-23,True
123193,海能转债,128.129,0.28,212.079,83.95,69.6552,14.5,112.2527,AA-,6.0,2.614647501711157,117.0,122.85000000000001,True,条款解析,2029-04-13,True
113655,欧22转债,120.95,-0.83,214.75,93.8,62.4098,51.29,110.2439,AA,20.0,1.9274469541409993,110.2439,115.756095,True,纯债价值回退,2028-08-05,True
127044,蒙娜转债,117.0,-1.27,218.04000000000002,101.04,58.1984,19.76,110.0547,AA-,11.6893,0.9555099247091033,110.0547,115.557435,True,纯债价值回退,2027-08-16,True
123113,仙乐转债,114.601,-0.68,218.171,103.57,56.2954,31.69,111.7281,AA-,10.248929,0.6297056810403833,113.0,118.65,False,条款解析,2027-04-19,True
113634,珀莱转债,124.833,-0.45,219.893,95.06,63.997,94.27,114.4773,AA,7.51713,1.267624914442163,115.0,120.75,True,条款解析,2027-12-08,True
127068,顺博转债,124.548,-0.59,220.378,95.83,63.6,10.0,105.9095,AA-,8.3,1.946611909650924,105.9095,111.204975,True,纯债价值回退,2028-08-12,True
123264,双乐转债,124.0,-0.14,220.41,96.41,63.1319,36.4,99.503,AA-,8.0,5.316906228610541,113.5,119.17500000000001,True,条款解析,2031-12-26,True
123192,科思转债,124.95,-0.66,224.96,100.01,62.4711,17.32,112.2527,AA-,7.249178,2.614647501711157,117.0,122.85000000000001,True,条款解析,2029-04-13,True
113671,武进转债,128.886,-0.83,227.24599999999998,98.36,64.9746,7.88,107.971,AA,3.1,2.855578370978782,107.971,113.36955,True,纯债价值回退,2029-07-10,True
127085,韵达转债,121.318,-0.5,227.628,106.31,58.8031,11.53,106.6398,AA+,24.5,2.6091718001368926,109.8,115.29,True,条款解析,2029-04-11,True
113679,芯能转债,124.542,-1.25,229.662,105.12,60.7171,12.55,111.5546,AA-,8.8,3.1512662559890487,118.5,124.42500000000001,True,条款解析,2029-10-26,True
113693,志邦转债,122.873,-0.96,230.71300000000002,107.84,59.1195,11.13,105.3072,AA,6.7,4.542094455852156,113.8,119.49000000000001,True,条款解析,2031-03-18,True
111009,盛泰转债,124.392,-0.53,231.582,107.19,60.0381,10.51,109.2948,AA,7.0118,2.184804928131417,111.8,117.39,True,条款解析,2028-11-07,True
113666,爱玛转债,122.568,0.01,232.088,109.52,58.4997,37.06,108.7112,AA,20.0,2.4804928131416837,111.8,117.39,True,条款解析,2029-02-23,True
113638,台21转债,125.564,-1.45,237.844,112.28,59.1505,16.01,111.4281,AA,6.0,1.325119780971937,112.0,117.60000000000001,True,条款解析,2027-12-29,True
127062,垒知转债,125.0,-0.95,248.93,123.93,55.8201,7.56,113.4065,AA-,3.963,1.6372347707049966,113.4065,119.076825,True,纯债价值回退,2028-04-21,True
118042,奥维转债,127.398,-0.13,259.738,132.34,54.8333,83.69,111.2156,AA-,11.4,2.940451745379877,117.0,122.85000000000001,True,条款解析,2029-08-10,True
111014,李子转债,124.689,0.13,268.049,143.36,51.2356,18.21,109.9863,AA,6.0,2.8008213552361396,113.8,119.49000000000001,True,条款解析,2029-06-20,True
113650,博22转债,124.423,-0.3,276.413,151.99,49.3769,23.27,112.9321,AA-,8.0,1.8316221765913758,115.0,120.75,True,条款解析,2028-07-01,True
123117,健帆转债,110.276,-2.33,277.046,166.77,41.3368,38.15,108.6122,AA,10.0,0.8076659822039699,108.6122,114.04281,False,纯债价值回退,2027-06-23,True
123180,浙矿转债,129.7,-0.14,294.03999999999996,164.34,49.0649,47.59,112.549,AA-,3.2,2.518822724161533,117.0,122.85000000000001,True,条款解析,2029-03-09,True
113670,金23转债,122.925,-0.86,316.665,193.74,41.8487,37.54,113.207,AA,7.7,2.625598904859685,116.8,122.64,True,条款解析,2029-04-17,True
113660,寿22转债,124.082,-1.41,333.782,209.7,40.0651,36.84,110.5775,AA-,3.98,2.212183436002738,114.0,119.7,True,条款解析,2028-11-17,True
118032,建龙转债,125.038,-0.45,354.158,229.12,37.9919,71.41,112.5574,AA-,7.0,2.516084873374401,117.0,122.85000000000001,True,条款解析,2029-03-08,True
113633,科沃转债,112.622,-0.52,382.47200000000004,269.85,30.4504,172.97,109.6189,AA,10.4,1.2457221081451062,110.0,115.5,False,条款解析,2027-11-30,True
118005,天奈转债,123.98,0.19,388.34000000000003,264.36,34.0269,99.01,108.8959,AA-,8.3,1.404517453798768,110.0,115.5,True,条款解析,2028-01-27,True
123179,立高转债,122.0,-1.37,466.25,344.25,27.462,94.64,112.8572,AA-,9.5,2.513347022587269,112.8572,118.50006,True,纯债价值回退,2029-03-07,True
