转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,120.31,0.09,136.76,16.45,103.3133,3.32,108.7515,AAA,30.0,0.758384668035592,110.0,115.5,True,条款解析,2027-06-21,True
113058,友发转债,129.945,-0.06,143.20499999999998,13.26,114.7321,4.48,111.0947,AA,20.0,1.5331964407939767,111.0947,116.64943500000001,True,纯债价值回退,2028-03-30,True
113048,晶科转债,114.176,0.07,155.556,41.38,80.7606,4.47,110.9837,AA,30.0,0.5968514715947981,112.0,117.60000000000001,False,条款解析,2027-04-23,True
113054,绿动转债,125.346,0.25,156.916,31.57,95.271,8.67,108.38,AA+,23.6,1.4401095140314852,109.0,114.45,True,条款解析,2028-02-25,True
123114,三角转债,124.247,0.12,158.177,33.93,92.7721,22.69,113.6507,AA-,9.043727,0.6844626967830253,113.6507,119.333235,True,纯债价值回退,2027-05-25,True
111017,蓝天转债,129.866,-0.07,159.73600000000002,29.87,100.0,6.72,107.9207,AA,8.7,2.9103353867214237,111.8,117.39,True,条款解析,2029-08-15,True
127050,麒麟转债,120.1,-0.74,161.5,41.4,84.937,15.07,109.8498,AA,21.989391,1.1498973305954825,110.0,115.5,True,条款解析,2027-11-11,True
123150,九强转债,129.848,0.14,162.828,32.98,97.6419,11.45,108.6226,AA-,11.39,1.78507871321013,110.0,115.5,True,条款解析,2028-06-30,True
113640,苏利转债,129.36,0.57,164.19,34.83,95.941,10.84,114.0743,AA-,9.57211,1.4154688569472964,114.0743,119.778015,True,纯债价值回退,2028-02-16,True
123133,佩蒂转债,128.499,1.28,164.529,36.03,94.4667,15.0,114.4301,AA-,7.2,1.2621492128678986,115.0,120.75,True,条款解析,2027-12-22,True
127046,百润转债,123.98,0.92,165.26,41.28,87.7521,20.33,110.0579,AA,11.28,1.0321697467488022,110.0,115.5,True,条款解析,2027-09-29,True
113067,燃23转债,126.498,0.0,168.488,41.99,89.0884,7.24,105.0733,AAA,30.0,2.858316221765914,108.8,114.24,True,条款解析,2029-07-27,True
110087,天业转债,122.143,-0.27,170.19299999999998,48.05,82.5,5.6,106.7903,AA+,30.0,1.7659137577002053,108.0,113.4,True,条款解析,2028-06-23,True
113070,渝水转债,125.996,0.73,172.476,46.48,86.0169,4.72,103.594,AAA,19.0,4.312114989733059,110.9,116.44500000000001,True,条款解析,2031-01-09,True
127034,绿茵转债,120.8,0.12,172.78,51.98,79.4826,11.21,111.8121,AA-,7.12,0.6160164271047228,113.0,118.65,True,条款解析,2027-04-30,True
110093,神马转债,120.9,0.25,176.45,55.55,77.7228,8.08,105.752,AAA,30.0,2.4941820670773445,108.8,114.24,True,条款解析,2029-03-16,True
