转债代码,转债名称,转债价格,转债涨跌%,双低值,转股溢价率%,转股价值,正股价,纯债价值,评级,发行规模(亿),剩余年限,剩余本息锚,买入上限,价格超买入上限,锚来源,到期日,存续
113051,节能转债,121.966,0.22,142.486,20.52,101.2012,3.33,108.6415,AAA,30.0,0.8213552361396304,110.0,115.5,True,条款解析,2027-06-21,True
113048,晶科转债,115.197,-0.2,158.627,43.43,80.3132,4.47,110.8605,AA,30.0,0.6598220396988365,112.0,117.60000000000001,False,条款解析,2027-04-23,True
123114,三角转债,125.577,-0.75,164.90699999999998,39.33,90.1278,22.69,113.4748,AA-,9.043727,0.7474332648870636,113.4748,119.14854000000001,True,纯债价值回退,2027-05-25,True
127034,绿茵转债,119.627,-1.78,167.807,48.18,80.7315,11.21,111.6373,AA-,7.12,0.6789869952087612,113.0,118.65,True,条款解析,2027-04-30,True
113070,渝水转债,126.835,0.1,172.14499999999998,45.31,87.2881,4.72,103.3959,AAA,19.0,4.375085557837098,110.9,116.44500000000001,True,条款解析,2031-01-09,True
113054,绿动转债,121.9,-0.37,172.67000000000002,50.77,80.8535,8.67,108.2119,AA+,23.6,1.5030800821355237,109.0,114.45,True,条款解析,2028-02-25,True
127046,百润转债,127.95,-0.51,173.27,45.32,88.0472,20.33,109.9136,AA,11.28,1.0951403148528405,110.0,115.5,True,条款解析,2027-09-29,True
110087,天业转债,123.897,-0.08,174.077,50.18,82.5,5.6,106.632,AA+,30.0,1.8288843258042438,108.0,113.4,True,条款解析,2028-06-23,True
113067,燃23转债,128.505,0.37,176.415,47.91,86.8785,7.24,104.9722,AAA,30.0,2.921286789869952,108.8,114.24,True,条款解析,2029-07-27,True
123119,康泰转2,123.256,-1.0,176.496,53.24,80.4334,15.69,110.4626,AA,20.0,0.8870636550308009,110.4626,115.98573,True,纯债价值回退,2027-07-15,True
123172,漱玉转债,128.758,-0.94,179.20800000000003,50.45,85.5801,14.91,111.2855,AA-,8.0,2.308008213552361,115.0,120.75,True,条款解析,2028-12-15,True
110093,神马转债,122.878,-0.41,180.728,57.85,77.8465,8.08,105.6548,AAA,30.0,2.5571526351813825,108.8,114.24,True,条款解析,2029-03-16,True
